"#","No.","Name","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm","Class"
"484","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","34","56","1:53.610","67.8","5:01:54.528","15:53:31.607","49","150","55","","4932257","0","","B"
"485","??","3459405","0","56","","0.0","","15:53:49.569","27","151","55","","3459405","0","",""
"486","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","41","56","4:03.674","31.6","5:05:13.345","15:56:50.424","31","150","40","","2749874","0","","A"
"487","??","3459405","0","56","","0.0","","15:57:36.037","31","150","63","","3459405","0","",""
"488","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","31","56","4:18.347","29.8","5:06:08.954","15:57:46.033","15","125","62","","3546842","0","","B"
"489","??","3665648","0","56","","0.0","","15:58:27.148","16","135","63","","3665648","0","",""
"490","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","57","57","5:48.182","22.1","5:07:00.514","15:58:37.593","39","166","63","","3566992","0","","A"
"491","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","42","57","2:01.637","63.3","5:07:14.982","15:58:52.061","37","153","63","","2749874","0","","A"
"492","??","3665648","0","57","","0.0","","16:00:26.884","30","144","74","","3665648","0","",""
"493","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","58","58","1:56.261","66.3","5:08:56.775","16:00:33.854","25","164","74","","3566992","0","","A"
